year,month,마우나로아산 대기 중 CO2 농도(ppm),알로하 해수의 pH
1958,3,315.71,
1958,4,317.45,
1958,5,317.51,
1958,6,317.27,
1958,7,315.87,
1958,8,314.93,
1958,9,313.21,
1958,10,312.42,
1958,11,313.33,
1958,12,314.67,
1959,1,315.58,
1959,2,316.49,
1959,3,316.65,
1959,4,317.72,
1959,5,318.29,
1959,6,318.15,
1959,7,316.54,
1959,8,314.8,
1959,9,313.84,
1959,10,313.33,
1959,11,314.81,
1959,12,315.58,
1960,1,316.43,
1960,2,316.98,
1960,3,317.58,
1960,4,319.03,
1960,5,320.03,
1960,6,319.58,
1960,7,318.18,
1960,8,315.9,
1960,9,314.17,
1960,10,313.83,
1960,11,315,
1960,12,316.19,
1961,1,316.89,
1961,2,317.7,
1961,3,318.54,
1961,4,319.48,
1961,5,320.58,
1961,6,319.77,
1961,7,318.56,
1961,8,316.79,
1961,9,314.99,
1961,10,315.31,
1961,11,316.1,
1961,12,317.01,
1962,1,317.94,
1962,2,318.55,
1962,3,319.68,
1962,4,320.57,
1962,5,321.02,
1962,6,320.62,
1962,7,319.61,
1962,8,317.4,
1962,9,316.24,
1962,10,315.42,
1962,11,316.69,
1962,12,317.7,
1963,1,318.74,
1963,2,319.07,
1963,3,319.86,
1963,4,321.38,
1963,5,322.24,
1963,6,321.49,
1963,7,319.74,
1963,8,317.77,
1963,9,316.21,
1963,10,315.99,
1963,11,317.07,
1963,12,318.35,
1964,1,319.57,
1964,2,320.04,
1964,3,320.75,
1964,4,321.84,
1964,5,322.25,
1964,6,321.89,
1964,7,320.44,
1964,8,318.69,
1964,9,316.71,
1964,10,316.87,
1964,11,317.68,
1964,12,318.71,
1965,1,319.44,
1965,2,320.44,
1965,3,320.89,
1965,4,322.14,
1965,5,322.17,
1965,6,321.87,
1965,7,321.21,
1965,8,318.87,
1965,9,317.82,
1965,10,317.3,
1965,11,318.87,
1965,12,319.42,
1966,1,320.62,
1966,2,321.6,
1966,3,322.39,
1966,4,323.7,
1966,5,324.08,
1966,6,323.75,
1966,7,322.37,
1966,8,320.36,
1966,9,318.64,
1966,10,318.1,
1966,11,319.78,
1966,12,321.02,
1967,1,322.33,
1967,2,322.5,
1967,3,323.03,
1967,4,324.41,
1967,5,325,
1967,6,324.09,
1967,7,322.54,
1967,8,320.92,
1967,9,319.25,
1967,10,319.39,
1967,11,320.73,
1967,12,321.96,
1968,1,322.57,
1968,2,323.15,
1968,3,323.89,
1968,4,325.02,
1968,5,325.57,
1968,6,325.36,
1968,7,324.14,
1968,8,322.11,
1968,9,320.33,
1968,10,320.25,
1968,11,321.32,
1968,12,322.89,
1969,1,324,
1969,2,324.41,
1969,3,325.63,
1969,4,326.66,
1969,5,327.38,
1969,6,326.71,
1969,7,325.88,
1969,8,323.66,
1969,9,322.38,
1969,10,321.78,
1969,11,322.85,
1969,12,324.11,
1970,1,325.06,
1970,2,325.99,
1970,3,326.93,
1970,4,328.13,
1970,5,328.08,
1970,6,327.67,
1970,7,326.34,
1970,8,324.68,
1970,9,323.1,
1970,10,323.06,
1970,11,324.01,
1970,12,325.13,
1971,1,326.17,
1971,2,326.69,
1971,3,327.18,
1971,4,327.78,
1971,5,328.93,
1971,6,328.57,
1971,7,327.36,
1971,8,325.43,
1971,9,323.36,
1971,10,323.56,
1971,11,324.8,
1971,12,326.01,
1972,1,326.77,
1972,2,327.63,
1972,3,327.75,
1972,4,329.72,
1972,5,330.07,
1972,6,329.09,
1972,7,328.04,
1972,8,326.32,
1972,9,324.84,
1972,10,325.2,
1972,11,326.5,
1972,12,327.55,
1973,1,328.55,
1973,2,329.57,
1973,3,330.3,
1973,4,331.5,
1973,5,332.48,
1973,6,332.07,
1973,7,330.87,
1973,8,329.31,
1973,9,327.52,
1973,10,327.19,
1973,11,328.17,
1973,12,328.65,
1974,1,329.36,
1974,2,330.71,
1974,3,331.49,
1974,4,332.65,
1974,5,333.19,
1974,6,332.2,
1974,7,331.07,
1974,8,329.15,
1974,9,327.33,
1974,10,327.28,
1974,11,328.31,
1974,12,329.58,
1975,1,330.73,
1975,2,331.46,
1975,3,331.94,
1975,4,333.11,
1975,5,333.95,
1975,6,333.42,
1975,7,331.97,
1975,8,329.95,
1975,9,328.49,
1975,10,328.36,
1975,11,329.38,
1975,12,330.75,
1976,1,331.56,
1976,2,332.74,
1976,3,333.36,
1976,4,334.74,
1976,5,334.72,
1976,6,333.97,
1976,7,333.08,
1976,8,330.68,
1976,9,328.96,
1976,10,328.72,
1976,11,330.16,
1976,12,331.62,
1977,1,332.68,
1977,2,333.17,
1977,3,334.96,
1977,4,336.14,
1977,5,336.93,
1977,6,336.17,
1977,7,334.89,
1977,8,332.56,
1977,9,331.29,
1977,10,331.28,
1977,11,332.46,
1977,12,333.6,
1978,1,334.94,
1978,2,335.26,
1978,3,336.66,
1978,4,337.69,
1978,5,338.02,
1978,6,338.01,
1978,7,336.5,
1978,8,334.42,
1978,9,332.36,
1978,10,332.45,
1978,11,333.76,
1978,12,334.91,
1979,1,336.14,
1979,2,336.69,
1979,3,338.27,
1979,4,338.82,
1979,5,339.24,
1979,6,339.26,
1979,7,337.54,
1979,8,335.72,
1979,9,333.97,
1979,10,334.24,
1979,11,335.32,
1979,12,336.81,
1980,1,337.9,
1980,2,338.34,
1980,3,340.07,
1980,4,340.93,
1980,5,341.45,
1980,6,341.36,
1980,7,339.45,
1980,8,337.67,
1980,9,336.25,
1980,10,336.14,
1980,11,337.3,
1980,12,338.29,
1981,1,339.29,
